comment_id,emotional_entropy,valence_mixing
eew5j0j,1.5849625,0.0
eemcysk,1.0,1.0
ed2mah1,1.5849625,0.9182958
eeibobj,1.0,0.0
eda6yn6,0.0,0.0
eespn2i,1.0,0.0
eczuekb,2.0,1.5
ed5tx8y,2.3219281,0.9709506
ef961hv,1.0,0.0
edl7cr3,2.0,0.0
ed9w1hm,1.5849625,1.5849625
ee52cjs,0.0,0.0
ef7tl7i,0.0,0.0
ee9vw9t,2.3219281,0.7219281
edsqvyx,0.0,0.0
ed13jls,2.0,0.0
edhionw,1.5849625,0.0
edkezap,1.5849625,0.9182958
ed86cjz,1.5849625,0.0
ed9b88y,2.0,1.5
edf75do,0.0,0.0
edj0qlw,2.0,1.5
eexfd75,2.3219281,1.5219281
ed8fx5a,2.0,0.8112781
ee9jw7b,1.0,0.0
eeb52e6,1.0,0.0
edw0ceq,0.0,0.0
ee64ows,1.0,0.0
edli9sc,1.0,0.0
ee9zjio,2.0,1.0
eda23xf,0.0,0.0
edptmv5,0.0,0.0
eerqrp7,1.5849625,0.9182958
eeodlb2,0.0,0.0
ed9gnqk,2.0,0.0
edk0nru,0.0,0.0
ed1ag17,1.0,0.0
eesj5ib,1.0,1.0
ef73maf,1.5849625,0.9182958
efdvxbg,1.0,1.0
ef4lp09,0.0,0.0
ef0tnl6,2.0,1.5
ee04wu6,1.5849625,0.9182958
edm3k6w,1.0,1.0
ee6lcw2,1.0,0.0
eecpk36,1.0,1.0
ed58r0k,1.0,1.0
edo1hi2,0.0,0.0
ed4vaif,2.3219281,0.9709506
ee5ede3,1.5849625,0.0
eewq46z,1.5849625,0.0
ef3u2gf,0.0,0.0
eezx2qo,0.0,0.0
ed2yxih,1.0,1.0
ee1pf1o,2.8073549,1.3787835
effsj1p,1.0,1.0
ed2kjxz,1.5849625,0.0
ee1vqbb,2.3219281,0.9709506
ef1jner,2.0,0.8112781
ed7dq81,0.0,0.0
edh5b7z,0.0,0.0
ee55lt0,0.0,0.0
ee0ai3t,2.0,1.0
edlktcs,1.5849625,0.9182958
edoch06,1.5849625,0.0
ed80lzq,1.0,0.0
edz3cr7,1.5849625,1.5849625
edn6f3e,1.5849625,0.9182958
eenwezk,1.5849625,0.9182958
eda5hak,0.0,0.0
edifef4,1.5849625,0.9182958
ed5gkhe,0.0,0.0
edgaypf,1.5849625,0.0
ees0ud4,1.0,0.0
eepej91,0.0,0.0
edulkmv,2.3219281,1.3709506
ee5k10q,1.0,0.0
edzy36r,2.0,0.8112781
ef029jq,1.0,0.0
ee3yul8,2.0,0.8112781
edlsovm,0.0,0.0
ee836nq,1.5849625,0.9182958
eex74rj,1.0,1.0
