comment_id,multi_label_count,example_very_unclear,unclear_fraction
eczazk6,1,False,0.0
eczb07q,0,False,0.0
eczb4bm,1,False,0.0
eczb527,2,False,0.0
eczb6r7,4,False,0.0
eczb770,2,False,0.0
eczbbmd,2,False,0.0
eczbbwt,3,False,0.0
eczbdg4,2,False,0.0
eczbe89,5,False,0.0
eczbfxj,2,False,0.0
eczbh7y,3,False,0.0
eczbjn8,3,False,0.0
eczbonk,3,False,0.0
eczbp9a,3,False,0.0
eczbpfi,4,False,0.0
eczbrwg,1,False,0.0
eczbt6t,2,False,0.0
eczbtwc,3,False,0.0
eczbupd,2,False,0.0
eczbuvi,2,False,0.0
eczbv4d,4,False,0.0
eczbvy8,4,False,0.0
eczbz1n,2,False,0.0
eczc1f1,2,False,0.0
eczc1l2,3,False,0.0
eczc3pt,5,False,0.0
eczc44a,7,False,0.0
eczc4q8,2,False,0.0
eczc67g,1,False,0.0
eczca53,1,False,0.0
eczcdr0,4,False,0.0
eczcf47,7,False,0.0
eczci86,5,False,0.0
eczcky9,5,False,0.0
eczcn1f,1,False,0.0
eczcnu6,3,False,0.0
eczcp10,2,False,0.0
eczcr4g,4,False,0.0
eczcsct,4,False,0.0
eczctf2,4,False,0.0
eczcucn,2,False,0.0
eczcvgx,1,False,0.0
eczcz6m,1,False,0.0
eczd0d6,3,False,0.0
eczd1ls,0,False,0.0
eczd20f,2,False,0.0
eczd31f,1,False,0.0
eczd32o,1,False,0.0
eczd40x,2,False,0.0
eczdac4,1,False,0.0
eczdadb,3,False,0.0
eczdawv,6,False,0.0
eczdbay,4,False,0.0
eczdhfb,1,False,0.0
eczdjqu,2,False,0.0
eczdkqb,4,False,0.0
eczdmij,3,False,0.0
eczdo4q,1,False,0.0
eczdqqq,1,False,0.0
eczdt62,2,False,0.0
eczdu8p,3,False,0.0
eczdv3l,1,False,0.0
eczdvun,2,False,0.0
eczdwx9,3,False,0.0
eczdwyd,1,False,0.0
eczdx1e,4,False,0.0
eczdygs,2,False,0.0
eczdzjj,4,False,0.0
ecze0mb,4,False,0.0
ecze0xp,1,False,0.0
ecze3hg,2,False,0.0
ecze4ws,2,False,0.0
ecze4xa,1,False,0.0
ecze59x,2,False,0.0
ecze76e,1,False,0.0
ecze7gl,1,False,0.0
ecze7nx,1,False,0.0
ecze9jy,1,False,0.0
eczee63,3,False,0.0
eczegcw,3,False,0.0
eczek8d,5,False,0.0
eczemge,3,False,0.0
eczemh0,1,False,0.0
eczeo1v,1,False,0.0
eczep0r,2,False,0.0
eczerhp,1,False,0.0
eczeuct,4,False,0.0
eczex23,3,False,0.0
eczez7j,1,False,0.0
eczezzv,5,False,0.0
eczf05d,2,False,0.0
eczf0cf,4,False,0.0
eczf1nt,3,False,0.0
eczf1y3,2,False,0.0
eczf223,2,False,0.0
eczf23k,2,False,0.0
eczf4ox,1,False,0.0
eczf5n9,1,False,0.0
eczf6bu,3,False,0.0
eczf8we,3,False,0.0
eczfbhc,2,False,0.0
eczfbnc,0,False,0.0
eczfbty,4,False,0.0
eczfdaa,1,False,0.0
eczfe7d,3,False,0.0
eczfe9l,2,False,0.0
eczfhoh,4,False,0.0
eczflf4,4,False,0.0
eczfoon,3,False,0.0
eczfp6e,1,False,0.0
eczfq8h,2,False,0.0
eczfs6b,2,False,0.0
eczfslj,2,False,0.0
eczfugs,2,False,0.0
eczfwa0,2,False,0.0
eczfxm4,1,False,0.0
eczfzz7,2,False,0.0
eczfzzk,2,False,0.0
eczg08p,1,False,0.0
eczg0o2,5,False,0.0
eczg2g7,1,False,0.0
eczg4ys,4,False,0.0
eczg8gf,1,False,0.0
eczg9dp,2,False,0.0
eczgakj,1,False,0.0
eczgflv,1,False,0.0
eczghwg,1,False,0.0
eczgifx,4,False,0.0
eczgkp9,2,False,0.0
eczgkwj,4,False,0.0
eczgm6f,2,False,0.0
eczgmqi,6,False,0.0
eczgmt3,2,False,0.0
eczgo88,3,False,0.0
eczgocp,1,False,0.0
eczgoz7,2,False,0.0
eczgpmf,3,False,0.0
eczgrcd,4,False,0.0
eczgs03,2,False,0.0
